ID,postText_clean,targetTitle_clean,targetDescription
1,CNN Politics,Trump's 'final' deadline for Iran to make a deal is just hours away,The President issued an 8 p.m. ET deadline for the reopening of the Strait of Hormuz.
2,Fox News,Artemis II crew emerges from communications blackout after vessel passes far side of the moon,NASA confirms the four-person crew is safe after the critical lunar flyby.
3,NYT Business,"FDA approves Eli Lilly’s new daily weight-loss pill, orforglipron","The pill, sold as Foundayo, is a more convenient alternative to weekly injections."
4,Yahoo News,Michigan topples UConn to win first NCAA basketball championship since 1989,The Wolverines secured the title with a dominant performance in the final.
5,Fox News,"Multiple aircraft destroyed in mission to rescue US airmen in Iran, no casualties",The high-risk extraction in the Iranian desert resulted in hardware loss but no loss of life.
6,CNN Business,Delta raises checked bag fees to $45 as fuel costs soar,Airlines are passing along higher costs to consumers amid Middle East supply chain rattling.
7,NYT Science,Exposure to plastic additive DEHP linked to nearly 2 million preterm births,A study led by NYU Langone warns of the global health impact of certain phthalates.
8,Yahoo News,Why your AT&T unlimited plan could cost $20 more each month starting this month,Price hikes take effect as telecommunications companies adjust to infrastructure demands.
9,Fox News,Mamdani unveils new 'racial equity plan' and gets brutal wakeup call from Trump's DOJ,New York's mayor faces federal pushback over his five-borough cost-of-living initiative.
10,CNN Politics,"5 things to know for April 7: Historic spaceflight, Tax refunds, Iran war",A morning briefing on the most critical developments for Tuesday.
11,NYT Health,The Food and Drug Administration's 'breakthrough' designation is prioritizing AI tools,Report shows cancer and cardiovascular AI devices represent the largest categories for fast-tracking.
12,Yahoo Finance,"Bitcoin reaches all-time high of $126,080 on institutional inflows","The cryptocurrency hit its peak on October 6, 2025, during the ""Crypto President"" era."
13,Fox News,"3 gunmen open fire outside Israeli consulate in Istanbul, dubbed 'terrorists' by Turkish official",Local police have cordoned off the Levent district as investigation begins.
14,NYT Archives,The White House frames the past by erasing parts of it,Analysis of the removal of climate and immigration data from federal websites in 2025.
15,CNN Tech,"NYT union tells management its AI standards are ""woefully inadequate""",Newsroom staff express concerns over generative AI's role in editorial workflows.
16,Yahoo News,Cause of death revealed for 'Deadliest Catch' deckhand Todd Meadows,Authorities release findings regarding the tragic loss of the 25-year-old crew member.
17,Fox News,Trump administration terminates agreements with districts on transgender students,The Education Department rescinded portions of civil rights settlements from previous years.
18,NYT World,Iran sends 10-point response to US proposals for ending the war,Pakistan-mediated response calls for a permanent end to strikes and lifting of sanctions.
19,CNN Business,Amazon and other companies introduce fuel surcharges for 2026 deliveries,Logistics giants pivot to cover rising energy costs affecting the global supply chain.
20,Fox News,Vanderbilt heiress Belle Burden warns of financial 'red flags' she missed during marriage,A personal account of wealth management and marital financial transparency.
21,NYT Opinion,When War Crimes Rhetoric Becomes Battlefield Reality: The Slippery Slope to Total War,An analysis of the escalatory language used in the 2026 Iran-US conflict.
22,Yahoo News,Woman gives birth midflight as air traffic controller suggests fitting name for baby,A rare mid-air delivery on a flight to Denver makes national headlines.
23,Fox News,Victor Wembanyama's MVP candidacy at risk after another injury right before playoffs,The NBA star's health becomes a focal point for the Spurs' postseason hopes.
24,CNN Health,The subtle warning signs of a 'mini stroke' — and who's most at risk,Neurologists emphasize the 'BE FAST' acronym for identifying transient ischemic attacks.
25,NYT Tech,Newly obtained video of Minneapolis shooting undermines ICE account,Visual evidence contradicts federal statements regarding a controversial law enforcement incident.
26,Yahoo News,"Yahoo to lay off 2,000 workers to 'reshape' company future",The 14% staff reduction is part of a broader annualized savings plan.
27,Fox News,CM Punk torches Pat McAfee after he's inserted into major WWE feud,Sports entertainment news ahead of the WrestleMania 42 main events.
28,CNN Politics,Georgia special election to replace Marjorie Taylor Greene enters runoff,Candidate Shawn Harris faces a high-stakes battle for the vacated 14th District seat.
29,NYT World,Israel-Gaza War: Strike kills 10 outside school housing displaced Palestinians,Ongoing conflict in the region results in further civilian casualties in Gaza City.
30,Fox News,California's $20 minimum wage for fast-food workers led to 'negative outcomes',Researchers analyze the economic impact of the state's wage hike on local businesses.
31,CNN Tech,OpenAI shuts down Sora video platform to focus on agentic AI,CEO Sam Altman confirms the shuttering of the generative video tool.
32,NYT Business,"Two more drug giants, Abbvie and Genentech, to officially launch on TrumpRx",The administration's drug-pricing platform adds new pharmaceutical partners.
33,Yahoo News,First report of Taylor Swift and Travis Kelce's romance is gone from the web,Digital archivists note the disappearance of early 2023 celebrity coverage.
34,Fox News,Trump-backed candidate aims to pad GOP's fragile House majority in MTG's seat,The special election becomes a litmus test for the 2026 midterms.
35,CNN World,IEA releases 400 million barrels of emergency oil to calm global markets,A 32-nation coalition attempts to lower energy prices during the Middle East conflict.
